Reference, Value, Footprint, Datasheet
"R4","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"H2","MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad","~"
"H1","MountingHole_Pad","MountingHole:MountingHole_2.7mm_M2.5_Pad","~"
"R3","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"Q1","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R2","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R1","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D2","LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D1","LED_Small","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U1","ATtiny13A-SSU","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc8126.pdf"
"BT1","Battery_Cell","Battery:BatteryHolder_Keystone_3002_1x2032","https://www.memoryprotectiondevices.com/datasheets/BC-2003-datasheet.pdf"
"J1","Conn_02x03_Simple_Add_On","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","https://hackaday.io/project/175182-simple-add-ons-sao"
